# epoch, loss, accuracy
0.000000000000000000e+00 4.168473184108734131e-01 8.571428656578063965e-01
1.000000000000000000e+00 3.453161120414733887e-01 8.571428656578063965e-01
2.000000000000000000e+00 5.176275372505187988e-01 7.619047760963439941e-01
3.000000000000000000e+00 1.971406042575836182e-01 1.000000000000000000e+00
4.000000000000000000e+00 1.665701568126678467e-01 9.047619104385375977e-01
5.000000000000000000e+00 2.164019197225570679e-01 9.047619104385375977e-01
6.000000000000000000e+00 3.021340444684028625e-02 1.000000000000000000e+00
7.000000000000000000e+00 2.788473665714263916e-02 1.000000000000000000e+00
8.000000000000000000e+00 1.025038585066795349e-01 9.523809552192687988e-01
9.000000000000000000e+00 1.733954180963337421e-03 1.000000000000000000e+00
1.000000000000000000e+01 1.411881996318697929e-03 1.000000000000000000e+00
1.100000000000000000e+01 1.047756173647940159e-03 1.000000000000000000e+00
1.200000000000000000e+01 2.594636462163180113e-04 1.000000000000000000e+00
1.300000000000000000e+01 1.251898065675050020e-04 1.000000000000000000e+00
1.400000000000000000e+01 3.614850575104355812e-04 1.000000000000000000e+00
1.500000000000000000e+01 2.509223995730280876e-04 1.000000000000000000e+00
1.600000000000000000e+01 2.024402419920079410e-05 1.000000000000000000e+00
1.700000000000000000e+01 2.986363142554182559e-05 1.000000000000000000e+00
1.800000000000000000e+01 5.528238762053661048e-05 1.000000000000000000e+00
1.900000000000000000e+01 5.489385330292861909e-06 1.000000000000000000e+00
2.000000000000000000e+01 7.510346677008783445e-06 1.000000000000000000e+00
2.100000000000000000e+01 6.837636192358331755e-06 1.000000000000000000e+00
2.200000000000000000e+01 3.891380401910282671e-06 1.000000000000000000e+00
2.300000000000000000e+01 8.972488103609066457e-06 1.000000000000000000e+00
2.400000000000000000e+01 2.585723677839268930e-06 1.000000000000000000e+00
2.500000000000000000e+01 1.331181124442082364e-06 1.000000000000000000e+00
2.600000000000000000e+01 1.504308642097385018e-07 1.000000000000000000e+00
2.700000000000000000e+01 1.169393271993612871e-06 1.000000000000000000e+00
2.800000000000000000e+01 5.052211804468242917e-07 1.000000000000000000e+00
2.900000000000000000e+01 9.763871275936253369e-07 1.000000000000000000e+00
3.000000000000000000e+01 7.095792398104094900e-08 1.000000000000000000e+00
3.100000000000000000e+01 1.844906591941253282e-07 1.000000000000000000e+00
3.200000000000000000e+01 3.945266087157506263e-07 1.000000000000000000e+00
3.300000000000000000e+01 1.475925444083259208e-07 1.000000000000000000e+00
3.400000000000000000e+01 9.934110067888468620e-08 1.000000000000000000e+00
3.500000000000000000e+01 1.986821729360599420e-08 1.000000000000000000e+00
3.600000000000000000e+01 1.277242915875831386e-07 1.000000000000000000e+00
3.700000000000000000e+01 4.223762452602386475e-02 9.523809552192687988e-01
3.800000000000000000e+01 4.090402740985155106e-03 1.000000000000000000e+00
3.900000000000000000e+01 3.845959145110100508e-05 1.000000000000000000e+00
4.000000000000000000e+01 2.081493039440829307e-05 1.000000000000000000e+00
4.100000000000000000e+01 2.778737871267367154e-05 1.000000000000000000e+00
4.200000000000000000e+01 1.064466559910215437e-04 1.000000000000000000e+00
4.300000000000000000e+01 2.881814180000219494e-05 1.000000000000000000e+00
4.400000000000000000e+01 3.134370854240842164e-05 1.000000000000000000e+00
4.500000000000000000e+01 2.262359485030174255e-04 1.000000000000000000e+00
4.600000000000000000e+01 1.861955297499662265e-06 1.000000000000000000e+00
4.700000000000000000e+01 1.608673337614163756e-04 1.000000000000000000e+00
4.800000000000000000e+01 4.890517629974056035e-06 1.000000000000000000e+00
4.900000000000000000e+01 2.685495564946904778e-05 1.000000000000000000e+00
5.000000000000000000e+01 7.567171905975556001e-06 1.000000000000000000e+00
5.100000000000000000e+01 3.675653488244279288e-06 1.000000000000000000e+00
5.200000000000000000e+01 9.820601007959339768e-07 1.000000000000000000e+00
5.300000000000000000e+01 5.662761850544484332e-06 1.000000000000000000e+00
5.400000000000000000e+01 1.197779283756972291e-06 1.000000000000000000e+00
5.500000000000000000e+01 7.180952366070414428e-07 1.000000000000000000e+00
5.600000000000000000e+01 8.243105185101740062e-06 1.000000000000000000e+00
5.700000000000000000e+01 1.609336891306156758e-06 1.000000000000000000e+00
5.800000000000000000e+01 2.537482714615180157e-06 1.000000000000000000e+00
5.900000000000000000e+01 7.862162760829960462e-07 1.000000000000000000e+00
6.000000000000000000e+01 8.798783568408907740e-08 1.000000000000000000e+00
6.100000000000000000e+01 2.327422095049769268e-07 1.000000000000000000e+00
6.200000000000000000e+01 1.986823292554618092e-07 1.000000000000000000e+00
6.300000000000000000e+01 7.464794862244161777e-07 1.000000000000000000e+00
6.400000000000000000e+01 4.200712737656431273e-07 1.000000000000000000e+00
6.500000000000000000e+01 5.052209530731488485e-07 1.000000000000000000e+00
6.600000000000000000e+01 2.554485156736063800e-08 1.000000000000000000e+00
6.700000000000000000e+01 8.798785700037115021e-08 1.000000000000000000e+00
6.800000000000000000e+01 1.192093606050548260e-07 1.000000000000000000e+00
6.900000000000000000e+01 3.689811833851308620e-08 1.000000000000000000e+00
7.000000000000000000e+01 2.299039323361284914e-07 1.000000000000000000e+00
7.100000000000000000e+01 1.135327423185117368e-07 1.000000000000000000e+00
7.200000000000000000e+01 3.973644524535302480e-08 1.000000000000000000e+00
7.300000000000000000e+01 4.257475083591089060e-08 1.000000000000000000e+00
7.400000000000000000e+01 2.185507526064611739e-07 1.000000000000000000e+00
7.500000000000000000e+01 4.541307419003715040e-08 1.000000000000000000e+00
7.600000000000000000e+01 3.017715876922011375e-03 1.000000000000000000e+00
7.700000000000000000e+01 7.066055666655302048e-03 1.000000000000000000e+00
7.800000000000000000e+01 1.632038561183435377e-06 1.000000000000000000e+00
7.900000000000000000e+01 6.133514689281582832e-04 1.000000000000000000e+00
8.000000000000000000e+01 3.813026414718478918e-04 1.000000000000000000e+00
8.100000000000000000e+01 3.062753603444434702e-05 1.000000000000000000e+00
8.200000000000000000e+01 1.550936030980665237e-05 1.000000000000000000e+00
8.300000000000000000e+01 1.452740070817526430e-05 1.000000000000000000e+00
8.400000000000000000e+01 9.309695201409340370e-07 1.000000000000000000e+00
8.500000000000000000e+01 9.250593393517192453e-06 1.000000000000000000e+00
8.600000000000000000e+01 3.022959754162002355e-05 1.000000000000000000e+00
8.700000000000000000e+01 3.608675615396350622e-05 1.000000000000000000e+00
8.800000000000000000e+01 3.126135197817347944e-05 1.000000000000000000e+00
8.900000000000000000e+01 9.848985200733295642e-07 1.000000000000000000e+00
9.000000000000000000e+01 5.867007530468981713e-06 1.000000000000000000e+00
9.100000000000000000e+01 7.166997875174274668e-06 1.000000000000000000e+00
9.200000000000000000e+01 4.706031177192926407e-06 1.000000000000000000e+00
9.300000000000000000e+01 8.035145583562552929e-05 1.000000000000000000e+00
9.400000000000000000e+01 2.279199861732195131e-06 1.000000000000000000e+00
9.500000000000000000e+01 2.358655137868481688e-06 1.000000000000000000e+00
9.600000000000000000e+01 2.185504968110763002e-07 1.000000000000000000e+00
9.700000000000000000e+01 1.612169512554828543e-06 1.000000000000000000e+00
9.800000000000000000e+01 9.565151231072377414e-07 1.000000000000000000e+00
9.900000000000000000e+01 7.067421847750665620e-07 1.000000000000000000e+00
